iter	Passed	Remaining
0	136	136376
1	137	68444
2	137	45780
3	138	34442
4	138	27643
5	139	23110
6	140	19868
7	140	17440
8	141	15550
9	141	14037
10	142	12801
11	142	11772
12	143	10900
13	144	10152
14	144	9504
15	145	8941
16	145	8438
17	146	7994
18	147	7600
19	147	7240
20	148	6914
21	148	6616
22	149	6347
23	149	6099
24	150	5872
25	151	5661
26	151	5468
27	152	5288
28	152	5122
29	153	4968
30	154	4835
31	155	4701
32	156	4573
33	156	4453
34	157	4339
35	158	4231
36	158	4131
37	159	4039
38	160	3951
39	162	3899
40	163	3823
41	164	3752
42	166	3696
43	166	3625
44	167	3557
45	168	3492
46	169	3431
47	170	3371
48	170	3315
49	171	3261
50	172	3217
51	173	3169
52	174	3121
53	175	3074
54	176	3029
55	177	2988
56	178	2946
57	178	2905
58	179	2865
59	180	2827
60	181	2790
61	182	2756
62	182	2721
63	183	2687
64	184	2655
65	185	2630
66	186	2601
67	187	2572
68	188	2543
69	189	2515
70	190	2489
71	191	2464
72	192	2439
73	192	2413
74	193	2389
75	194	2366
76	195	2342
77	196	2319
78	197	2296
79	197	2274
80	198	2254
81	199	2235
82	200	2211
83	201	2192
84	201	2173
85	202	2155
86	203	2138
87	204	2120
88	205	2102
89	206	2085
90	207	2067
91	207	2051
92	208	2035
93	209	2019
94	210	2003
95	211	1988
96	211	1973
97	212	1960
98	213	1945
99	214	1932
100	215	1918
101	216	1905
102	217	1893
103	218	1880
104	219	1868
105	219	1855
106	220	1843
107	221	1831
108	222	1820
109	223	1809
110	224	1797
111	225	1785
112	226	1775
113	227	1764
114	227	1754
115	228	1743
116	229	1731
117	230	1721
118	231	1711
119	232	1701
120	232	1692
121	233	1681
122	234	1671
123	235	1661
124	236	1652
125	236	1643
126	237	1633
127	238	1624
128	239	1617
129	240	1609
130	241	1601
131	242	1594
132	243	1586
133	244	1579
134	245	1572
135	246	1564
136	247	1556
137	247	1548
138	248	1540
139	249	1533
140	250	1525
141	250	1516
142	251	1508
143	252	1502
144	253	1494
145	254	1488
146	255	1481
147	256	1473
148	256	1467
149	257	1460
150	258	1454
151	259	1447
152	260	1441
153	261	1435
154	262	1429
155	263	1423
156	263	1416
157	264	1410
158	265	1403
159	266	1399
160	267	1391
161	267	1386
162	268	1380
163	269	1374
164	270	1369
165	271	1364
166	272	1358
167	273	1353
168	274	1347
169	274	1342
170	275	1337
171	276	1331
172	277	1326
173	278	1320
174	279	1315
175	280	1310
176	280	1306
177	281	1300
178	282	1295
179	283	1290
180	284	1286
181	285	1281
182	285	1276
183	286	1271
184	287	1266
185	288	1262
186	289	1258
187	290	1253
188	291	1249
189	291	1244
190	292	1240
191	293	1236
192	294	1232
193	295	1228
194	296	1224
195	297	1220
196	298	1216
197	299	1213
198	300	1209
199	301	1205
200	302	1201
201	303	1197
202	303	1193
203	304	1189
204	305	1185
205	306	1182
206	307	1179
207	308	1175
208	309	1172
209	310	1168
210	311	1165
211	312	1161
212	313	1158
213	314	1155
214	315	1151
215	316	1147
216	317	1144
217	317	1140
218	318	1136
219	320	1134
220	321	1131
221	322	1128
222	323	1125
223	323	1122
224	324	1119
225	326	1118
226	327	1115
227	328	1111
228	329	1108
229	330	1105
230	331	1102
231	332	1099
232	333	1096
233	334	1094
234	335	1092
235	336	1090
236	338	1090
237	339	1087
238	340	1085
239	341	1082
240	342	1078
241	343	1076
242	344	1072
243	345	1070
244	346	1067
245	347	1064
246	348	1061
247	349	1058
248	349	1055
249	351	1053
250	351	1050
251	352	1047
252	353	1044
253	354	1041
254	355	1039
255	356	1036
256	357	1033
257	358	1030
258	359	1028
259	360	1025
260	361	1022
261	362	1019
262	362	1017
263	363	1014
264	364	1011
265	365	1009
266	366	1006
267	367	1003
268	368	1000
269	369	998
270	370	995
271	370	992
272	371	990
273	372	987
274	373	985
275	374	982
276	375	980
277	376	978
278	377	975
279	378	973
280	379	971
281	380	968
282	381	966
283	382	963
284	383	961
285	383	958
286	384	956
287	385	953
288	386	951
289	387	948
290	388	947
291	389	945
292	390	943
293	392	941
294	393	940
295	394	939
296	395	936
297	396	934
298	397	932
299	398	930
300	399	928
301	400	925
302	401	923
303	402	921
304	403	919
305	404	916
306	405	914
307	406	912
308	406	910
309	407	907
310	408	905
311	409	903
312	410	900
313	411	898
314	412	896
315	413	894
316	414	892
317	415	890
318	416	888
319	417	886
320	419	886
321	420	884
322	420	882
323	421	880
324	422	877
325	423	875
326	424	873
327	425	871
328	426	869
329	427	867
330	428	865
331	428	863
332	429	860
333	430	858
334	431	856
335	432	854
336	433	852
337	434	851
338	435	849
339	436	847
340	437	845
341	438	842
342	438	840
343	439	838
344	440	836
345	441	834
346	442	832
347	443	830
348	444	828
349	445	826
350	445	824
351	446	822
352	447	820
353	448	818
354	449	816
355	450	815
356	454	819
357	456	818
358	457	817
359	458	815
360	459	813
361	461	812
362	462	811
363	463	809
364	464	808
365	466	807
366	468	808
367	470	807
368	471	806
369	472	804
370	473	802
371	474	800
372	475	799
373	477	799
374	478	797
375	481	798
376	482	797
377	483	795
378	484	794
379	486	793
380	487	791
381	488	789
382	489	787
383	490	786
384	490	784
385	491	782
386	492	780
387	493	778
388	494	776
389	495	774
390	496	772
391	497	771
392	497	769
393	498	767
394	500	766
395	501	764
396	501	762
397	503	761
398	506	763
399	509	764
400	510	763
401	512	762
402	513	760
403	514	759
404	515	757
405	516	755
406	517	753
407	518	752
408	520	751
409	520	749
410	521	747
411	522	745
412	523	743
413	524	742
414	526	741
415	528	741
416	529	739
417	530	738
418	533	739
419	534	738
420	536	737
421	537	736
422	539	735
423	540	734
424	542	734
425	544	733
426	546	733
427	547	731
428	549	730
429	549	729
430	550	727
431	552	725
432	553	725
433	554	723
434	556	722
435	559	723
436	562	724
437	566	727
438	569	727
439	570	726
440	572	726
441	574	724
442	578	726
443	579	725
444	580	723
445	581	721
446	582	721
447	583	719
448	584	717
449	585	715
450	587	715
451	588	713
452	589	711
453	590	709
454	591	708
455	592	706
456	593	704
457	594	703
458	594	701
459	595	699
460	596	697
461	597	695
462	598	693
463	599	692
464	600	690
465	601	688
466	602	687
467	603	685
468	603	683
469	604	682
470	605	680
471	607	679
472	607	677
473	608	675
474	609	673
475	610	672
476	611	670
477	612	669
478	613	667
479	614	666
480	615	664
481	616	662
482	617	661
483	618	659
484	619	657
485	620	656
486	621	654
487	622	653
488	623	651
489	624	649
490	625	648
491	626	647
492	627	645
493	628	643
494	629	642
495	630	640
496	631	638
497	632	637
498	632	635
499	633	633
500	634	632
501	635	630
502	636	628
503	637	627
504	638	625
505	639	624
506	640	622
507	640	620
508	641	619
509	642	617
510	644	616
511	645	614
512	646	613
513	646	611
514	647	610
515	648	608
516	649	606
517	650	605
518	651	603
519	653	602
520	654	601
521	655	599
522	656	598
523	656	596
524	657	595
525	658	593
526	659	592
527	660	590
528	661	588
529	662	587
530	663	585
531	664	584
532	665	582
533	666	581
534	667	579
535	667	578
536	668	576
537	669	575
538	670	573
539	671	571
540	672	570
541	673	569
542	674	567
543	675	566
544	676	565
545	677	563
546	678	562
547	679	560
548	680	559
549	681	557
550	682	556
551	683	554
552	684	553
553	685	552
554	686	550
555	687	549
556	688	547
557	689	546
558	690	544
559	691	543
560	692	542
561	693	540
562	694	539
563	695	537
564	696	536
565	697	534
566	698	533
567	699	531
568	700	530
569	701	529
570	702	527
571	703	526
572	704	525
573	705	523
574	706	522
575	707	520
576	708	519
577	709	517
578	710	516
579	711	514
580	712	513
581	713	512
582	714	511
583	715	509
584	716	508
585	717	506
586	718	505
587	719	504
588	720	502
589	721	501
590	722	499
591	723	498
592	724	497
593	725	495
594	726	494
595	727	492
596	728	491
597	729	490
598	729	488
599	730	487
600	731	485
601	732	484
602	733	482
603	735	481
604	736	480
605	736	479
606	737	477
607	738	476
608	739	475
609	740	473
610	741	472
611	742	470
612	743	469
613	744	467
614	745	466
615	746	465
616	747	463
617	748	462
618	749	461
619	750	459
620	751	458
621	751	456
622	752	455
623	753	454
624	754	452
625	755	451
626	756	449
627	757	448
628	758	447
629	758	445
630	759	444
631	760	443
632	761	441
633	762	440
634	763	438
635	764	437
636	765	436
637	766	434
638	767	433
639	768	432
640	769	430
641	770	429
642	770	428
643	771	426
644	772	425
645	773	424
646	774	422
647	775	421
648	776	420
649	777	418
650	778	417
651	779	415
652	780	414
653	781	413
654	782	411
655	782	410
656	783	409
657	784	407
658	785	406
659	786	405
660	787	404
661	788	402
662	789	401
663	790	400
664	791	398
665	792	397
666	793	396
667	794	394
668	795	393
669	796	392
670	797	390
671	798	389
672	799	388
673	800	387
674	801	385
675	802	384
676	803	383
677	804	381
678	805	380
679	806	379
680	807	378
681	807	376
682	808	375
683	809	374
684	810	372
685	811	371
686	812	370
687	813	368
688	814	367
689	815	366
690	816	365
691	817	363
692	818	362
693	819	361
694	820	359
695	821	358
696	821	357
697	822	355
698	823	354
699	824	353
700	825	352
701	826	350
702	827	349
703	828	348
704	828	346
705	829	345
706	830	344
707	831	342
708	832	341
709	833	340
710	834	339
711	835	337
712	836	336
713	837	335
714	837	333
715	838	332
716	839	331
717	841	330
718	842	329
719	843	327
720	844	326
721	844	325
722	845	324
723	846	322
724	847	321
725	848	320
726	849	318
